name,founded_date,location,category,target_client,business_model,description,main_url,twitter_url,angellist_url,crunchbase_url,linkedin_url,facebook_url,legalio_url,all_tags,status,
Courtsdesk,2015,"Dublin, Dublin, Ireland",Analytics,n/a,n/a,Courtdesk provides online database of court cases and reporting in Ireland.,https://www.courtsdesk.com/,https://twitter.com/courtsdesk,n/a,https://www.crunchbase.com/organization/courtsdesk,https://www.linkedin.com/company/courtsdesk/,https://www.facebook.com/courtsdesk/,n/a,"Data Integration, Law Enforcement, Legal, Legal Tech, News",active,
HELM360,1997,"Poway, California, United States",Analytics,n/a,n/a,Helm360 has gained extensive expertise in business intelligence and analytics.,http://helm360.com/,https://twitter.com/helm360,n/a,https://www.crunchbase.com/organization/helm360,https://www.linkedin.com/company/helm360/,https://www.facebook.com/helm360solution/,n/a,"Information Services, Information Technology, Legal, Legal Tech, Software",active,
Doctrine.fr,2016,"Paris, Ile-de-France, France",Analytics,n/a,n/a,Doctrine builds legal research and analytics software for legal professionals.,https://www.doctrine.fr,https://twitter.com/doctrineproject?lang=en,https://angel.co/company/doctrine_legal,https://www.crunchbase.com/organization/doctrine,https://www.linkedin.com/company/doctrine,http://www.facebook.com/DoctrineFR,n/a,"Analytics, Artificial Intelligence, Legal, Legal Tech, Machine Learning, SaaS, Software",active,
Yerra Solutions AG,2013,"Basel, Switzerland",Analytics,n/a,n/a,Technology used by in-house legal departments to capture and analyse Legal spend,https://www.yerrasolutions.com/yerra-clearly,https://twitter.com/yerrasolutions,n/a,https://www.crunchbase.com/organization/yerra-solutions#section-overview,https://www.linkedin.com/company/yerra-solutions-ag,https://www.facebook.com/YerraSolutions/,n/a,spend analytics contract management,acquired,
Vijilent,2015,"Raleigh, North Carolina, United States",Analytics,Companies,Legal Tech,Vijilent provides a telemedicine platform for connecting patients with caregivers.,n/a,https://twitter.com/vijilent?lang=en,https://angel.co/company/vijilent-1,n/a,https://www.linkedin.com/company/vijilent/,https://www.facebook.com/vijilent1/,n/a,"Business Intelligence, Health Care, Legal, Legal Tech, Predictive Analytics, Risk Management",active,
PolicyStore,2015,Basel,Analytics,n/a,n/a,We nudge people for ethical conduct using behavioral economics and modern technology,https://thepolicystore.com/,https://twitter.com/policystorech,n/a,https://www.crunchbase.com/organization/policystore,https://www.linkedin.com/company/policystore,https://www.facebook.com/policystore,n/a,n/a,active,
lex.be,2015,"Etterbeek, Brussels Hoofdstedelijk Gewest, Belgium",Analytics,n/a,n/a,Lex.be provides access to legal databases and increase law professionals efficiency.,https://lex.be/,n/a,n/a,https://www.crunchbase.com/organization/lex-be,https://www.linkedin.com/company/10398996/,https://www.facebook.com/www.lex.be/,n/a,"Database, Information Services, Information Technology, Legal, Legal Tech, Professional Services",active,
MyCourtCase,2016,"Tampa, Florida, United States",Analytics,n/a,n/a,MyCourtCase analyzes criminal court case details from the start to finish of a case.,n/a,https://twitter.com/mycourtcase,n/a,n/a,n/a,https://www.facebook.com/SealMyCourtCase/,n/a,"Analytics, Information Services, Legal, Legal Tech",inactive,
Steinfeld Legal,2015,"Kraków, Malopolskie, Poland",Analytics,n/a,n/a,Steinfeld Legal provide high quality service in the field of legal big data analysis.,https://steinfeldlegal.com/,https://twitter.com/steinfeldlaw?lang=en,n/a,https://www.crunchbase.com/organization/steinfeld-legal,https://www.linkedin.com/company/steinfeld-legal/,https://www.facebook.com/steinfeldlegal/,n/a,"Analytics, Big Data, Legal, Legal Tech",active,
Patnav,2016,n/a,Analytics,n/a,n/a,Seal Software develops contract discovery and contract management software solutions.,http://patnav.co/,n/a,n/a,n/a,n/a,n/a,n/a,n/a,inactive,
myBarrister,2012,"London, England, England",Analytics,n/a,n/a,myBarrister is an online portal that provides direct access to legal advice barristers.,https://www.mybarrister.co.uk/,n/a,https://angel.co/company/mybarrister,https://www.crunchbase.com/organization/mybarrister,http://uk.linkedin.com/in/mybarrister,http://www.facebook.com/myBarrister,n/a,"Direct Marketing, E-Commerce, Legal, Legal Tech",active,
Legal Labs,2016,"Brasília, Rio Grande do Norte, Brazil",Analytics,n/a,n/a,Legal Labs is a startup that specializes in artificial intelligence applied to the law.,https://www.legallabs.com/,https://twitter.com/legal_labs?lang=en,n/a,https://www.crunchbase.com/organization/legal-labs,https://www.linkedin.com/company/legal-labs-brasil/,https://www.facebook.com/legallabs/,n/a,"Artificial Intelligence, Data Mining, Legal, Legal Tech, Machine Learning, Natural Language Processing, Software",active,
Acaya,2018,"Bangkok, Krung Thep, Thailand",Analytics,n/a,n/a,"A Thai LegalTech startup specializing in legal information retrieval, analytics, and NLP.",https://www.acaya.ai,n/a,n/a,https://www.crunchbase.com/organization/acaya,https://www.linkedin.com/company/acayaai,https://www.facebook.com/public/Acaya,n/a,"Information Technology, Legal Tech, Natural Language Processing",active,
Intelivix,2015,"Recife, Bahia, Brazil",Analytics,n/a,n/a,Intelivix develops smart solutions that help legal departments deal with and analyze data.,https://intelivix.com/,n/a,n/a,https://www.crunchbase.com/organization/intelivix,https://www.linkedin.com/company/intelivix/,https://www.facebook.com/intelivix/,n/a,"Artificial Intelligence, Database, Information Technology, Legal, Legal Tech, Software",active,
CourtCorrect,2019,"London, England",Analytics,n/a,n/a,CourtCorrect tells you what's in all the terms and conditions and contracts you just accept.,https://www.courtcorrect.com/,https://twitter.com/CourtCorrect,n/a,n/a,n/a,n/a,n/a,n/a,active,
Legal Robot,2015,"Vallejo, California, United States",Analytics,n/a,n/a,Legal Robot uses machine learning techniques like deep learning to understand legal language.,n/a,https://twitter.com/legalrobot?lang=en,https://angel.co/company/legal-robot,n/a,https://www.linkedin.com/company/legal-robot,https://www.facebook.com/LegalRobot?_rdr=p,n/a,"Artificial Intelligence, Legal, Legal Tech, Machine Learning",active,
Legal Miner,2015,"Beijing, Beijing, China",Analytics,n/a,n/a,Legal Miner is a law of large data visualization and transparency of internet sharing platform.,http://www.legalminer.com,n/a,n/a,https://www.crunchbase.com/organization/legal-miner,https://www.linkedin.com/company/legal-miner/,https://www.facebook.com/LegalMiner/,n/a,"Analytics, Consulting, Legal, Legal Tech",active,
Cognitiv+,2015,"London, England, England",Analytics,n/a,n/a,Cognitiv+ is an artificial intelligence platform that automates knowledge extraction from legal data.,http://www.cognitivplus.com/,n/a,https://angel.co/company/cognitiv-2,https://www.crunchbase.com/organization/cognitiv-2,https://www.linkedin.com/company/cognitiv-/,https://www.facebook.com/cognitivplus/,n/a,"Analytics, Artificial Intelligence, Legal, Legal Tech, Software",active,
Syntexys,2018,"Pleasanton, California, United States",Analytics,n/a,n/a,Syntexys uses machine learning and statistical natural language processing to provide business insights.,n/a,https://twitter.com/Syntexys,https://angel.co/company/syntexys,n/a,https://www.linkedin.com/company/syntexys/,n/a,n/a,"Enterprise Software, Information Technology, Legal, Legal Tech",active,
Brightleaf,2006,"Brookline, Massachusetts, United States",Analytics,n/a,n/a,"Brightleaf helps in mining information from unstructured, text-based documents, and making it accessible.",www.brightleaf.com,https://twitter.com/brightleaf,https://angel.co/company/brightleaf-solutions-1,https://www.crunchbase.com/organization/brightleaf,https://in.linkedin.com/company/brightleaf-corporation,http://www.facebook.com/brightleafcorp,n/a,"Analytics, Content, Data Mining, Legal, Legal Tech, Software",active,
Blue J Legal Inc.,2015,"Toronto, Ontario, Canada",Analytics,n/a,n/a,Blue J Legal is a machine learning and artificial intelligence that delivers absolute clarity to the law.,https://www.bluejlegal.com/,https://twitter.com/bluejlegal?lang=en,https://angel.co/company/blue-j-legal,https://www.crunchbase.com/organization/blue-j-legal,http://www.bluejlegal.com/blog,https://www.facebook.com/bluejlegal,n/a,"Artificial Intelligence, Legal, Legal Tech, Machine Learning, Professional Services",active,
Legalkart,2018,"Gurgaon, Haryana, India",Analytics,n/a,n/a,"LegalKart is a simple, convenient location to share files, communicate, and collaborate with your clients.",https://www.legalkart.com/,https://twitter.com/legalkart,n/a,https://www.crunchbase.com/organization/legalkart,https://www.linkedin.com/company/legalkart/,https://www.facebook.com/legalkart/,n/a,"Legal, Legal Tech",active,
metricson,2014,"Barcelona, Spain",Analytics,n/a,n/a,Metricson is a law firm expert that provides comprehensive legal services to tech and innovative companies.,https://metricson.com,https://twitter.com/metricson?lang=en,n/a,https://www.crunchbase.com/organization/metricson,https://www.linkedin.com/company/metricson,https://www.facebook.com/Metricson/,n/a,n/a,active,
Sky Analytics,2009,"Andover, Massachusetts, United States",Analytics,Companies,Legal Service Using Tech,Sky Analytics is a B2B company that focuses on the development of legal spend management software solutions.,n/a,https://twitter.com/lawspendclarity,https://angel.co/company/sky-analytics,n/a,http://www.linkedin.com/company/sky-analytics,http://www.facebook.com/skyanalytics,n/a,"Analytics, B2B, Legal, Legal Tech, Software",acquired,
Docket Alarm,2012,"São Paulo, Sao Paulo, Brazil",Analytics,n/a,n/a,"Docket optimizes the search, management, and analysis of documents with legal value, reducing costs and time.",https://www.docketalarm.com,https://twitter.com/docketmeetings?lang=en,https://angel.co/docket-alarm,https://www.crunchbase.com/organization/docket,https://www.linkedin.com/company/docketbrasil/,https://www.facebook.com/pg/docketbrasil,n/a,"Document Management, Document Preparation, Legal, Legal Tech",active,
Law Data Science,2017,"Sydney, New South Wales, Australia",Analytics,n/a,n/a,Law Data Science is an analytics and data science company offering bespoke consulting to the legal profession.,https://www.lawdatascience.com/,https://twitter.com/datascience4law?lang=en,n/a,https://www.crunchbase.com/organization/law-data-science,https://www.linkedin.com/company/lawdatascience/,n/a,n/a,"Information Services, Legal, Legal Tech, Software",inactive,
ModusP,2014,"Palo Alto, California, United States",Analytics,n/a,n/a,ModusP is a legal knowledge platform that provides law firms and jurists with unprecedented search capabilities.,n/a,n/a,n/a,n/a,https://www.linkedin.com/company/modusp,n/a,n/a,"Analytics, Big Data, Legal, Legal Tech, Search Engine, Semantic Search, Software",inactive,
Independent Strategies Digital,2017,"München, Bayern, Germany",Analytics,n/a,n/a,"Independent Strategies Digital is a legal tech company that provides law tech, digital transformation, and SaaS.",https://www.independentstrategies.de,https://twitter.com/dd_isd?lang=en,n/a,https://www.crunchbase.com/organization/independent-strategies-digital,https://www.linkedin.com/company/independent-strategies-digital,https://www.facebook.com/IndependenStrategies,n/a,"Digital Media, Legal, Legal Tech, SaaS",active,
Hot Neuron LLC,2000,"Havertown, PA",Analytics,n/a,n/a,"Hot Neuron produces Clustify, which is software for predictive coding (TAR), clustering, and near-dupe detection.",n/a,https://twitter.com/Clustify,n/a,n/a,n/a,https://www.facebook.com/pages/Hot-Neuron-LLC/144494148945042,n/a,n/a,active,
TermScout,2018,"Denver, Colorado, United States",Analytics,n/a,n/a,We help business buyers and their vendors effectively and efficiently remove friction in the contracting process.,https://termscout.com/,https://twitter.com/termscout?lang=en,https://angel.co/company/termscout,https://www.crunchbase.com/organization/termscout-95d7,https://www.linkedin.com/company/termscout/,https://www.facebook.com/TermScout,n/a,Legal Tech,active,
Indexa,2016,"Dki Jakarta, Jakarta Raya, Indonesia",Analytics,n/a,n/a,Indexa focuses on legal analytic and integration law information for legal professional civil society and government.,https://indexacapital.com/es/esp/,https://twitter.com/indexacapital?lang=en,https://angel.co/company/indexa-capital,https://www.crunchbase.com/organization/indexa,https://www.linkedin.com/company/indexalaw/,https://www.facebook.com/indexacapital/,n/a,"Analytics, Information Services, Legal, Legal Tech",active,
Moodul,2017,"Stockholm, Sweden",Analytics,n/a,n/a,"Moodul  is developing AI-based support tools for lawyers integrated with Microsoft Word, specialised in text analysis.",https://www.moodul.com,https://twitter.com/moodul_io,n/a,n/a,n/a,https://www.facebook.com/pages/category/Furniture/moodul-524531451035311/,n/a,"deep learning, nachine learning, ai, artificial intelligence, moodul",active,
Loom Analytics,2015,"Toronto, Ontario, Canada",Analytics,n/a,n/a,Loom Analytics is a legal data analytics company that builds analytics products for the legal and insurance industries.,https://www.loomanalytics.com/,https://twitter.com/loomanalytics?lang=en,n/a,https://www.crunchbase.com/organization/loom-analytics,https://www.linkedin.com/company/loom-analytics/,https://www.facebook.com/LoomAnalytics,n/a,"Analytics, Consulting, Information Technology, Legal, Legal Tech",active,
loom analytics,2016,"Toronto, Ontario, Canada",Analytics,n/a,n/a,Loom is an online legal analytics system providing structure to the large corpus of unstructured Canadian legal open data.,http://www.loomanalytics.com/,https://twitter.com/LoomAnalytics,https://angel.co/company/useloom,https://www.crunchbase.com/funding_round/loom-systems-series-a--5b5a3d14,https://www.linkedin.com/company/loom-analytics,https://www.facebook.com/LoomAnalytics,n/a,n/a,active,
FiscalNote,2011,"Washington, DC, USA",Analytics,n/a,n/a,"At FiscalNote, we've built a platform for real-time open data analysis that aggregates, analyzes, and forecasts legal data.",n/a,https://twitter.com/FiscalNote,https://angel.co/company/fiscalnote,n/a,http://www.linkedin.com/company/fiscalnote,http://www.facebook.com/FiscalNote,n/a,n/a,active,
Restructuring Concepts,2012,"Los Gatos, CA, USA",Analytics,n/a,n/a,Our company has developed unique capabilities in unlocking the wealth of valuable information from the court filing system.,n/a,n/a,https://angel.co/company/restructuring-concepts,n/a,https://www.linkedin.com/company/restructuring-concepts-llc,n/a,n/a,n/a,active,
Premonition Analytics,2014,"Miami, FL",Analytics,Individuals,Legal Tech,Premonition.ai is an Artificial Intelligence system that mines Big Data to find out which Attorneys win before which Judges.,n/a,https://twitter.com/Premonition_AI,https://angel.co/company/premonition-io,n/a,https://www.linkedin.com/company/premonition-analytics,https://www.facebook.com/premonitionanalytics/,n/a,"artificial intelligence, ai, big data, analytics",active,
Lex Machina,2009,"Menlo Park, California, United States",Analytics,Service Providers,Legal Tech,"Lex Machina provides legal analytics to companies and law firms to craft successful strategies, win cases, and close business.",n/a,https://twitter.com/lexmachina?lang=en,https://angel.co/company/lex-machina,n/a,http://www.linkedin.com/company/732353,http://www.facebook.com/lexmachinainc,n/a,"Analytics, Database, Internet, Legal, Legal Tech, Software",active,
ClearstoneIP,2016,"Palo Alto, California, United States",Analytics,n/a,n/a,"ClearstoneIP provides a platform for conducting product clearance, freedom to operate, and patent infringement-based analysis.",n/a,https://twitter.com/clearstoneip?lang=en,n/a,n/a,http://www.linkedin.com/company/clearstoneip,n/a,n/a,"Analytics, Information Services, Legal, Legal Tech",active,
Solucionare Logística Jurídica,2016,"Belo Horizonte, Minas Gerais, Brazil",Analytics,n/a,n/a,Solucionare is a Judicial Information Specialist and acts with data processing and intelligence for the legal segment in Brazil.,http://solucionarelj.com.br,https://twitter.com/equipojuridico?lang=en,n/a,https://www.crunchbase.com/organization/solucionare-logística-jurídica,https://www.linkedin.com/company/solucionare/,https://www.facebook.com/solucionarelogjur/,n/a,"Advice, Consulting, Legal, Legal Tech",active,
Softplan Planejamento e Sistemas Ltda.,1990,"Florianópolis, Santa Catarina, Brazil",Analytics,n/a,n/a,"Softplan is one of the largest technology companies in Brazil. We deliver solutions in Justice, Constrution and Public Management.",https://softplan.com/,https://twitter.com/softplan?lang=en,https://angel.co/company/softplan-planejamento-de-sistemas-ltda,https://www.crunchbase.com/organization/softplan,https://www.linkedin.com/company/softplan-planejamento-de-sistemas-ltda,https://www.facebook.com/softplanonline,n/a,"Analytics, Artificial Intelligence, Construction, Developer Platform, Enterprise Software, Legal Tech, Management Information Systems, Software",active,
jEugene,2014,"New York, New York, United States",Analytics,n/a,n/a,"jEugene offers tools that assist lawyers to review and manage documents by highlighting terms and definitions, and creating notes.",n/a,https://twitter.com/eugenegu?lang=en,https://angel.co/p/eugene_zhang,n/a,https://www.linkedin.com/company/eugene-labs,https://www.facebook.com/public/Eugene,n/a,"Developer Tools, Law Enforcement, Legal, Legal Tech",inactive,
Litimetrics Inc,2016,"Los Angeles, California, United States",Analytics,n/a,n/a,"Litimetrics helps you make smarter litigation decisions using data from court cases. Founded in 2016, Techstars 2017, exited 2019.",n/a,https://twitter.com/litimetrics?lang=en,https://angel.co/company/litimetrics,n/a,https://www.linkedin.com/company/litimetrics,https://www.facebook.com/litimetrics,n/a,"Analytics, Artificial Intelligence, Legal, Legal Tech",active,
Jurimetric,2016,"Curitiba, Parana, Brazil",Analytics,n/a,n/a,Jurimetric is a web platform with several resources to make informed decisions in law through statistics applied to jurisprudence.,http://jurimetric.com.br,https://twitter.com/jurimetric?lang=en,n/a,https://www.crunchbase.com/organization/jurimetric,https://www.linkedin.com/company/jurimetric/,https://www.facebook.com/jurimetric/,n/a,"B2B, Data Center, Legal, Legal Tech, Sales",active,
Kurier,1945,"Recife, Bahia, Brazil",Analytics,n/a,n/a,Kurier offers a data analytics platform so legal firms can monitor all the happenings going on within the Brazilian justice system.,https://kurier.at/,https://twitter.com/KURIERat,n/a,https://www.crunchbase.com/organization/kurier-e0f7,https://www.linkedin.com/company/kuriertecnologia/,https://www.facebook.com/kuriertecnologia/,n/a,"Legal, Legal Tech, Software",active,
eBrevia,2012,"Stamford, CT, USA",Analytics,n/a,n/a,EBrevia commercializes machine-learning technology developed at Columbia University to analyze and extract information from contracts.,http://ebrevia.com/,https://twitter.com/ebrevia?lang=en,https://angel.co/company/ebrevia-3,https://www.crunchbase.com/organization/ebrevia,http://www.linkedin.com/company/ebrevia,http://www.facebook.com/eBrevia,n/a,n/a,acquired,
rfrnz,2017,"Munich, Bayern, Germany",Analytics,n/a,n/a,rfrnz offers automated contract analysis for legal professionals based on Machine Learning and Natural Language Processing algorithms.,https://www.rfrnz.com/en/,https://twitter.com/rfrnz_systems?lang=en,https://angel.co/company/rfrnz/jobs,https://www.crunchbase.com/organization/rfrnz,https://www.linkedin.com/company/rfrnz/,https://www.facebook.com/Referenz/,n/a,"Legal, Legal Tech",active,
Veratech Intelligence Private Limited,2019,"Gurgaon, Haryana, India",Analytics,n/a,n/a,"We build the most comprehensive profile of Indian companies that help lawyer identify unchecked risk, red flags and compliance lapses.",https://www.veratech.in/,n/a,https://angel.co/company/veratech-3,https://www.crunchbase.com/organization/network-intelligence-india-pvt-ltd,https://www.linkedin.com/company/veratech-intelligence,https://www.facebook.com/search.php?q=Veratech+Intelligence+Private+Limited&type=users&init=srp,n/a,"risk analysis, legal research, analytics",active,
Legalshine,2014,Dublin,Analytics,n/a,n/a,Corporate legal fees are a black hole. Legalshine is a tool for large organisations to control their legal costs through data analytics.,http://www.legalshinehq.com/,n/a,https://angel.co/company/legalshine,https://www.crunchbase.com/organization/legalshine,n/a,https://www.facebook.com/LegalShine/,n/a,n/a,inactive,
UniCourt Inc.,2014,"Tustin, California, United States",Analytics,n/a,n/a,UniCourt provides Legal Data as a Service via our APIs to AmLaw 50 firms and Fortune 500 businesses for accessing normalized court data.,n/a,https://twitter.com/UniCourtInc,https://angel.co/company/unicourt,n/a,https://www.linkedin.com/company/unicourtinc/,https://www.facebook.com/unicourtinc/,n/a,"Analytics, Legal, Legal Tech, SaaS, Software",active,
Legility,2000,"Brentwood, Tennessee, United States",Analytics,n/a,n/a,"Legility provides consulting, technology, managed solutions, and flexible legal talent engagement services to corporations and law firms.",n/a,https://twitter.com/LegilityLaw,n/a,n/a,https://www.linkedin.com/company/legility/,https://www.facebook.com/counseloncall/,n/a,"Consulting, Information Technology, Legal, Legal Tech, Professional Services",active,
Pramata,2012,No location yet,Analytics,n/a,n/a,"Wevorce offers web-based technology and a community of trained attorneys, counselors, and other experts to help couples divorce amicably.",https://www.pramata.com,https://twitter.com/pramatacorp?lang=en,https://angel.co/company/pramata,http://www.crunchbase.com/organization/wevorce,https://www.linkedin.com/company/pramata-corporation,https://www.facebook.com/PramataCorp,n/a,n/a,active,
Fastcase,1999,"Washington, District of Columbia, United States",Analytics,n/a,n/a,"Fastcase is the smarter alternative for legal research - using data visualization, citation analysis, and mobile apps to beautify the law.",n/a,https://twitter.com/fastcase,https://angel.co/company/fastcase,n/a,https://www.linkedin.com/company/fastcase/,https://www.facebook.com/fastcase/,n/a,"Analytics, Data Visualization, Legal, Legal Tech, Search Engine",active,
Viewabill,2012,"Colombus, OH, USA",Analytics,Companies,Legal Service Using Tech,"Viewabill, a cloud-based technology, enables clients of legal, accounting, and consulting firms to monitor pre-bill activity in real-time.",n/a,https://twitter.com/Viewabill,https://angel.co/viewabill,n/a,http://www.linkedin.com/company/viewabill,n/a,n/a,"billing, management",acquired,
Access Family Law,2014,"Michigan, USA",Analytics,Individuals,Legal Tech,Access Family Law gives you a simple and affordable way to complete your divorce documents and manage your divorce case without an attorney.,https://www.accessfamilylaw.com/,https://twitter.com/accessfamilylaw?lang=en,n/a,https://www.crunchbase.com/organization/access-family-law,http://www.linkedin.com/company/access-family-law,http://www.facebook.com/accessfamilylaw,n/a,n/a,active,
